0,,"――そうですか、残念です
ではせめてこれをお持ち下さい","Oh, I see. That's too bad. Well, please at least
take this with you.",ui\00_message\npc\base\n9011.gmd,\npc\n9011.arc,n9011.arc,1,,,,,,,,,
17,FUNC_CLASS_NAME_20,オーブ交換：珍品／素材,Troca de Orbe: Itens Raros / Materiais,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,17,,,,,,,,,
18,FUNC_CLASS_NAME_21,エリアマスター,Mestre de Área,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,18,,,,,,,,,
19,FUNC_CLASS_NAME_22,ジョブマスター,Mestre de Vocação,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,19,,,,,,,,,
20,FUNC_CLASS_NAME_24,バザー,Bazar,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,20,,,,,,,,,
21,FUNC_CLASS_NAME_25,保管ボックス,Baú de Armazenamento,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,21,,,,,,,,,
22,FUNC_CLASS_NAME_26,納品ボックス,Caixa de Entrega,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,22,,,,,,,,,
23,FUNC_CLASS_NAME_27,リムストーン,Fenda,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,23,,,,,,,,,
24,FUNC_CLASS_NAME_28,竜の礎,Arcano do Dragão,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,24,,,,,,,,,
25,FUNC_CLASS_NAME_29,拠点の礎,Cristal de Portal,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,25,,,,,,,,,
26,FUNC_CLASS_NAME_30,竜の礎,Arcano do Dragão,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,26,,,,,,,,,
27,FUNC_CLASS_NAME_31,クエストボード,Quadro de Missões,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,27,,,,,,,,,
28,FUNC_CLASS_NAME_32,クランクエストボード,Quadro de Missões do Clã,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,28,,,,,,,,,
29,FUNC_CLASS_NAME_33,ランキングボード,Quadro de Ranking,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,29,,,,,,,,,
30,FUNC_CLASS_NAME_34,亡都の礎,Pedra Angular da Cidade Perdida,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,30,,,,,,,,,
31,FUNC_CLASS_NAME_35,移送の楔,Transferência de Vínculo,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,31,,,,,,,,,
32,FUNC_CLASS_NAME_36,記録官,Historiador,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,32,,,,,,,,,
33,FUNC_CLASS_NAME_37,ポーンの復活,Reviver Peão,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,33,,,,,,,,,
34,FUNC_CLASS_NAME_39,エクストリームミッション,Missões Extremas,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,34,,,,,,,,,
35,FUNC_CLASS_NAME_40,復活力の回復,Recuperar Poder de Revivificação,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,35,,,,,,,,,
36,FUNC_CLASS_NAME_41,拠点用保管ボックス,Bau de Armazenamento do Acampamento,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,36,,,,,,,,,
37,FUNC_CLASS_NAME_42,ログインスタンプ,Selo de Login,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,37,,,,,,,,,
38,FUNC_CLASS_NAME_43,報酬受け取り,Recompensas Recebidas,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,38,,,,,,,,,
39,FUNC_CLASS_NAME_44,トレジャーズロット,Lote de Tesouros,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,39,,,,,,,,,
40,FUNC_CLASS_NAME_45,現れしポーン,Peão Manifesto,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,40,,,,,,,,,
41,FUNC_CLASS_NAME_46,弱化の治療,Tratar Fraqueza,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,41,,,,,,,,,
42,FUNC_CLASS_NAME_47,戦徒の契り,Promessa de Myrmidon,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,42,,,,,,,,,
43,FUNC_CLASS_NAME_48,鑑定交換,Troca de Avaliação,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,43,,,,,,,,,
44,FUNC_CLASS_NAME_49,パートナーポーン,Peão Parceiro,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,44,,,,,,,,,
45,FUNC_CLASS_NAME_50,戦技の継承,Aprimoramento de Habilidade,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,45,,,,,,,,,
46,FUNC_CLASS_NAME_51,アチーブメント,Conquista,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,46,,,,,,,,,
47,FUNC_CLASS_NAME_52,格納チェスト,Baú de Armazenamento,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,47,,,,,,,,,
48,FUNC_CLASS_NAME_53,ジョブ解放,Desbloqueio de Vocação,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,48,,,,,,,,,
49,FUNC_CLASS_NAME_54,ボックストレジャーズロット,Lote de Tesouros da Caixa,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,49,,,,,,,,,
50,FUNC_CLASS_NAME_55,ポーン遠征隊,Corpo de Expedição de Peões,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,50,,,,,,,,,
51,FUNC_CLASS_NAME_56,遠征成果の確認,Verificar Resultado da Expedição,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,51,,,,,,,,,
52,FUNC_CLASS_NAME_57,プレイポイントショップ,Loja de Pontos de Jogo,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,52,,,,,,,,,
53,FUNC_CLASS_NAME_58,クラン拠点管理,Gerenciamento do Salão do Clã,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,53,,,,,,,,,
54,FUNC_CLASS_NAME_59,戦技練習,Prática de Guerra,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,54,,,,,,,,,
55,FUNC_CLASS_NAME_60,クランダンジョン,Masmorra do Clã,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,55,,,,,,,,,
56,FUNC_CLASS_NAME_61,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,56,,,,,,,,,
57,FUNC_CLASS_NAME_62,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,57,,,,,,,,,
58,FUNC_CLASS_NAME_63,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,58,,,,,,,,,
59,FUNC_CLASS_NAME_64,絶技の継承,Aprimoramento de Habilidade Especial,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,59,,,,,,,,,
60,FUNC_CLASS_NAME_65,ジョブエンブレム,Emblema de Vocação,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,60,,,,,,,,,
61,FUNC_CLASS_NAME_66,サブストーリーログ,Registro de Subtrama,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,61,,,,,,,,,
62,FUNC_CLASS_NAME_67,英霊眠りし道,Caminho Adormecido do Espírito Heróico,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,62,,,,,,,,,
63,FUNC_CLASS_NAME_68,魂を捧げる,Dar Espíritos,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,63,,,,,,,,,
64,FUNC_CLASS_NAME_69,ウォーミッション,Missões de Guerra,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,64,,,,,,,,,
65,FUNC_CLASS_NAME_70,ドミニオンポイントショップ,Loja de Ponto de Domínio,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,65,,,,,,,,,
66,FUNC_CLASS_NAME_71,転生,Reencarnação,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,66,,,,,,,,,
67,FUNC_CLASS_NAME_72,武具のカスタムメイド,Armas Feitas Sob Medida,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,67,,,,,,,,,
68,FUNC_CLASS_NAME_73,武具の資源分解,Desmontagem de Recursos de Equipamento,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,68,,,,,,,,,
69,FUNC_CLASS_NAME_74,冒パスショップ,Loja de Passe de Aventura,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,69,,,,,,,,,
70,FUNC_CLASS_NAME_75,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,70,,,,,,,,,
71,FUNC_CLASS_NAME_76,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,71,,,,,,,,,
72,FUNC_CLASS_NAME_77,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,72,,,,,,,,,
73,FUNC_CLASS_NAME_78,アチーブメント：王家再興,Conquistas: Restauração da Família Real,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,73,,,,,,,,,
74,FUNC_CLASS_NAME_80,紋章メダル交換,Troca de Medalha de Emblema,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,74,,,,,,,,,
75,FUNC_CLASS_NAME_81,おでかけ支援サービス,Serviço de Suporte de Saída,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,75,,,,,,,,,
76,FUNC_CLASS_NAME_82,他人の自室訪問,Visitar o Quarto de Outro,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,76,,,,,,,,,
77,FUNC_CLASS_NAME_83,スペシャルクエストボード,Quadro de Missões Especiais,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,77,,,,,,,,,
78,FUNC_CLASS_NAME_84,大口納品報酬確認,Revisão de Recompensa de Entrega Grande,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,78,,,,,,,,,
79,FUNC_CLASS_NAME_85,自室訪問設定,Configuração de Visita ao Meu Quarto,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,79,,,,,,,,,
80,FUNC_CLASS_NAME_86,冒険ガイド,Guia de Aventura,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,80,,,,,,,,,
81,FUNC_CLASS_NAME_87,募集掲示板,Quadro de Recrutamento,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,81,,,,,,,,,
82,FUNC_CLASS_NAME_88,効果の封印,Selo de Efeito,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,82,,,,,,,,,
83,FUNC_CLASS_NAME_89,黒呪アイテムの鑑定,Avaliação de Item de Bitterblack,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,83,,,,,,,,,
84,FUNC_CLASS_NAME_90,具現化,Materializar,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,84,,,,,,,,,
85,FUNC_CLASS_NAME_91,探索結果の報告,Relatar Resultados da Pesquisa,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,85,,,,,,,,,
86,FUNC_CLASS_NAME_93,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,86,,,,,,,,,
87,FUNC_CLASS_NAME_94,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,87,,,,,,,,,
88,FUNC_CLASS_NAME_95,印記章交換,Troca de Insígnias,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,88,,,,,,,,,
89,FUNC_CLASS_NAME_96,大口納品イベント,Evento de Entrega Grande,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,89,,,,,,,,,
90,FUNC_CLASS_NAME_97,黒呪ショップ,Loja de Bitterblack,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,90,,,,,,,,,
91,FUNC_CLASS_NAME_98,,,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,91,,,,,,,,,
92,FUNC_CLASS_NAME_99,ワイルドハント,Caçada Selvagem,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,92,,,,,,,,,
93,FUNC_CLASS_NAME_100,ハイオーブ交換,Troca de Orbes Elevados,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,93,,,,,,,,,
94,FUNC_CLASS_NAME_101,ドラゴンアビリティの合成,Síntese de Habilidades de Dragão,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,94,,,,,,,,,
95,FUNC_CLASS_NAME_102,竜防具の鑑定交換,Troca de Avaliação de Armadura de Dragão,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,95,,,,,,,,,
96,FUNC_CLASS_NAME_103,リワードミッション,Missão de Recompensa,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,96,,,,,,,,,
97,FUNC_CLASS_NAME_104,リワードメダル交換,Troca de Medalhas de Recompensa,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,97,,,,,,,,,
0,FUNC_SELECT_NAME_3,ショップ,Loja,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,0,,,,,,,,,
1,FUNC_SELECT_NAME_4,ショップ,Loja,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,1,,,,,,,,,
2,FUNC_SELECT_NAME_5,ショップ,Loja,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,2,,,,,,,,,
3,FUNC_SELECT_NAME_6,ショップ,Loja,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,3,,,,,,,,,
4,FUNC_SELECT_NAME_7,宿泊,Pousada,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,4,,,,,,,,,
5,FUNC_SELECT_NAME_8,ショップ,Loja,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,5,,,,,,,,,
6,FUNC_SELECT_NAME_9,ショップ,Loja,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,6,,,,,,,,,
7,FUNC_SELECT_NAME_10,戦技の付替え,Suporte de Artes,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,7,,,,,,,,,
8,FUNC_SELECT_NAME_11,転職／戦技の付替え,Vocação / Troca de Artes,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,8,,,,,,,,,
9,FUNC_SELECT_NAME_12,グランドミッション,Grande Missão,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,9,,,,,,,,,
10,FUNC_SELECT_NAME_13,パーティー編成,Criação de Grupo,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,10,,,,,,,,,
11,FUNC_SELECT_NAME_14,クラン設立・加入,Fundação / Adesão de Clã,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,11,,,,,,,,,
12,FUNC_SELECT_NAME_15,クラフト,Criar,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,12,,,,,,,,,
13,FUNC_SELECT_NAME_16,美容院,Salão de Beleza,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,13,,,,,,,,,
14,FUNC_SELECT_NAME_17,レスタニアニュース,Notícias de Lestania,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,14,,,,,,,,,
15,FUNC_SELECT_NAME_18,竜力の継承,Amplificação da Força Dracônica,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,15,,,,,,,,,
16,FUNC_SELECT_NAME_19,オーブ交換：クレスト,Troca de Orbe: Cristas,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,16,,,,,,,,,
17,FUNC_SELECT_NAME_20,オーブ交換：珍品／素材,Troca de Orbe: Itens Raros / Materiais,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,17,,,,,,,,,
18,FUNC_SELECT_NAME_21,エリア情報,Informação da Área,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,18,,,,,,,,,
19,FUNC_SELECT_NAME_22,ジョブ修練,Treinamento de Vocação,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,19,,,,,,,,,
20,FUNC_SELECT_NAME_24,バザー,Bazar,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,20,,,,,,,,,
21,FUNC_SELECT_NAME_25,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,21,,,,,,,,,
22,FUNC_SELECT_NAME_26,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,22,,,,,,,,,
23,FUNC_SELECT_NAME_27,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,23,,,,,,,,,
24,FUNC_SELECT_NAME_28,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,24,,,,,,,,,
25,FUNC_SELECT_NAME_29,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,25,,,,,,,,,
26,FUNC_SELECT_NAME_30,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,26,,,,,,,,,
27,FUNC_SELECT_NAME_31,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,27,,,,,,,,,
28,FUNC_SELECT_NAME_32,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,28,,,,,,,,,
29,FUNC_SELECT_NAME_33,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,29,,,,,,,,,
30,FUNC_SELECT_NAME_34,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,30,,,,,,,,,
31,FUNC_SELECT_NAME_35,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,31,,,,,,,,,
32,FUNC_SELECT_NAME_36,報告書の確認,Revisar Relatórios,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,32,,,,,,,,,
33,FUNC_SELECT_NAME_37,ポーンの復活,Reviver Peão,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,33,,,,,,,,,
34,FUNC_SELECT_NAME_39,エクストリームミッション,Missões Extremas,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,34,,,,,,,,,
35,FUNC_SELECT_NAME_40,復活力の回復,Recuperando Revivificações,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,35,,,,,,,,,
36,FUNC_SELECT_NAME_41,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,36,,,,,,,,,
37,FUNC_SELECT_NAME_42,ログインスタンプ,Selo de Login,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,37,,,,,,,,,
38,FUNC_SELECT_NAME_43,報酬受け取り,Receber Recompensa,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,38,,,,,,,,,
39,FUNC_SELECT_NAME_44,トレジャーズロット,Lote de Tesouros,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,39,,,,,,,,,
40,FUNC_SELECT_NAME_45,契約報酬の受け取り,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,40,,,,,,,,,
41,FUNC_SELECT_NAME_46,弱化の治療,Tratar Fraqueza,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,41,,,,,,,,,
42,FUNC_SELECT_NAME_47,戦徒の契り,Promessa de Myrmidon,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,42,,,,,,,,,
43,FUNC_SELECT_NAME_48,鑑定交換,Troca de Avaliação,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,43,,,,,,,,,
44,FUNC_SELECT_NAME_49,パートナーポーン,Peão Parceiro,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,44,,,,,,,,,
45,FUNC_SELECT_NAME_50,戦技の継承,Aprimoramento de Habilidade,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,45,,,,,,,,,
46,FUNC_SELECT_NAME_51,アチーブメント,Conquistas,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,46,,,,,,,,,
47,FUNC_SELECT_NAME_52,,,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,47,,,,,,,,,
48,FUNC_SELECT_NAME_53,ジョブ解放,Desbloqueio de Vocação,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,48,,,,,,,,,
49,FUNC_SELECT_NAME_54,ボックストレジャーズロット,Lote de Tesouros da Caixa,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,49,,,,,,,,,
50,FUNC_SELECT_NAME_55,ポーン遠征隊,Expedições de Peões,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,50,,,,,,,,,
51,FUNC_SELECT_NAME_56,遠征結果の確認,Confirmar Resultados da Expedição,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,51,,,,,,,,,
52,FUNC_SELECT_NAME_57,プレイポイントショップ,Loja de Pontos de Jogo,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,52,,,,,,,,,
53,FUNC_SELECT_NAME_58,クラン拠点管理,Gerenciamento do Salão do Clã,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,53,,,,,,,,,
54,FUNC_SELECT_NAME_59,戦技練習,Prática de Guerra,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,54,,,,,,,,,
55,FUNC_SELECT_NAME_60,クランダンジョン,Masmorras do Clã,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,55,,,,,,,,,
56,FUNC_SELECT_NAME_61,プレゼント,Presente,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,56,,,,,,,,,
57,FUNC_SELECT_NAME_62,プレゼント状況確認,Verificar Status do Presente,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,57,,,,,,,,,
58,FUNC_SELECT_NAME_63,プレゼント状況確認,Verificar Status do Presente,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,58,,,,,,,,,
59,FUNC_SELECT_NAME_64,絶技の継承,Aprimoramento de Habilidade Especial,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,59,,,,,,,,,
60,FUNC_SELECT_NAME_65,ジョブエンブレム,Emblema de Vocação,ui\00_message\npc\func_select_name.gmd,\game_common.arc,game_common.arc,60,,,,,,,,,
